
//nhilanth/nil_win.wav
//nhilanth/nil_done.wav
//nhilanth/nil_thelast.wav
//nhilanth/nil_die.wav



//버그나 기타 의견 리포트는, 그리고 다운로드는 toxagen5@hotmail.com (chat only)나 irc #map 및 #modmaker 또는 #kgda 체널에서 받아서 할수 있습니다.


//LK01_SC_HELLO2 이상물질 오셧. 기억나는군요


//07.07~08.01 라디에이션 스투디오 파이널 버전 패치.


//공지//

//<< 읽어주세요!! >> :: 맵 테스트를 하면서 몇몇 (예를들어 다수의 몬스터가 얽힌 교전이나 특정 상황에서 몬스터 생성시) 돌발 상황에 엔진 클라이언트에서 오류를 종종 일으킨바 있습니다.

//따라서 본 프로그램이 설치되어짐으로서 빚어지는 자료 손실등과 같은 사항에 대하여 radiation- studios는 귀하의 하드웨어에 설치를 권장하지 않습니다.




//현제 거의 모든 돌발상황을 제거한바 있지만 아래 보고된 맵에서는 돌발행동 자제를 당부합니다.

//pk03.bsp

//pk04.bsp


//LK01_BA_HURRY
//이리로 들어와요 빨리!


//좀 큰 표본실 위에 어쌔신 결박당한채 놓여짐 (남1여2)머리에 기생
//LK01_SC_WARNED1 (박사2)
//이사람들은 경고를 무시했을까
//LK01_SC_WARNED2 (박사3)
//우리가 경고를 했는데도 말이야.

//SC_QUESTION15
//이 게과 생명체들은 독특한 기생

//SC_QUESTION18
//정말 모든 생명체들이 우릴 잡아먹으려 왔다고 주장하는

//불스퀴드 대형 우리로 감. 예의상 퀴드 한번 유리쪽으로 쏴줌. 그럼에도 박사 문 비밀번호 댐.

//BA_SHOT3
//뭘하려는거야?

//(불스퀴드등장)
//SC_QUESTION22
//외계인 모두가 적대적인건 아닐거야

//SC_PQUEST15
//배고픈사람?(불스퀴드 밥주고)

//BA_ANSWER7
//내게 묻지마셔.

//LK01_SC_USSEE
//자네가 봐야할게 있어.

//연구돔 진입_박사랑 슬레이브랑 대화중 (박사 한명은 주저앉음. dk01처럼)

//SC_IDLE0
//난 이모든걸 예상했었어

//SC_QUESTION6
//분명히 누군가 와서 구해주겠지

//SC_QUESTION9(박사2)
//우리 운도 바뀔거 같지 않나

//SC_ANSWER8
//물론이지

//SC_IDLE12 
//람다 사람들이 이 모든걸 통제할수 있길 바라네(박사2)

//다시 표본실로

//SC_NOGO 
//그쪽으로 가지마

//SC_PLFEAR0
//세상에 자네 뭐하고 있는거야

//LK01_SC_ALLDIE
//맙소사 우리 모두 죽었어.

//LK01_BA_GLOCK
//내가 낡은무기라도 가지고 있어서 다행

//LK01_BA_STAY
//난 여기 남겠소 수상한게 나오면 쏠것이오


OK01_SC_WHOARE scientist/whoareyou
SLV_IDLE10 aslave/slv_word7(p85)

SLV_ALERT0 aslave/(p105) slv_alert1 slv_word2
SLV_ALERT1 aslave/(p105) slv_word8 slv_word8 slv_word8 slv_word5
SLV_ALERT2 aslave/(p105) slv_alert4 slv_word4 slv_alert3
SLV_ALERT3 aslave/(p108) slv_alert1 slv_word5
SLV_ALERT4 aslave/(p108) slv_word5(p110) slv_word8 slv_word8
SLV_ALERT5 aslave/(p108) slv_alert4 slv_word7 slv_alert1

FG_QUESTION0 fgrunt/seensquad
FG_QUESTION1 fgrunt/current
FG_QUESTION2 fgrunt/coverup
FG_QUESTION3 fgrunt/chicken
FG_QUESTION4 fgrunt/charge
FG_QUESTION5 fgrunt/bfeeling

FG_QUEST0 fgrunt/bfeeling
FG_QUEST1 fgrunt/current

FG_ANSWER0 fgrunt/roger
FG_ANSWER1 fgrunt/quiet

FG_GREN0 fgrunt/incoming
FG_GREN1 fgrunt/grenade

FG_ALERT0 fgrunt/alert
FG_ALERT1 fgrunt/down
FG_ALERT2 fgrunt/bogies
FG_ALERT3 fgrunt/hostiles

FG_MONSTER0 fgrunt/alert
FG_MONSTER1 fgrunt/alien

FG_COVER0 fgrunt/clear
FG_COVER1 fgrunt/cover
FG_COVER2 fgrunt/staydown

FG_CLEAR0 fgrunt/clear
FG_CLEAR1 fgrunt/area

FG_THROW0 fgrunt/fire
FG_THROW1 fgrunt/grenade

FG_CHARGE0 fgrunt/go
FG_CHARGE1 fgrunt/getsome
FG_CHARGE2 fgrunt/move

FG_TAUNT0 fgrunt/mister
FG_TAUNT1 fgrunt/nothing
FG_TAUNT2 fgrunt/oneshot
FG_TAUNT3 fgrunt/getsome
FG_TAUNT4 fgrunt/corners
FG_TAUNT5 fgrunt/backup

FG_OK0 fgrunt/damage
FG_OK1 fgrunt/six
FG_OK2 fgrunt/moving
FG_OK3 fgrunt/gotit
FG_OK4 fgrunt/hellout
FG_OK5 fgrunt/sir
FG_OK6 fgrunt/right
FG_OK7 fgrunt/command
FG_OK8 fgrunt/notfail
FG_OK9 fgrunt/yes

FG_SCARED0 fgrunt/hearsome
FG_SCARED1 fgrunt/hear

FG_WAIT0 fgrunt/secure
FG_WAIT1 fgrunt/orders
FG_WAIT2 fgrunt/scout
FG_WAIT3 fgrunt/guardduty

FG_STOP0 fgrunt/sorry
FG_STOP1 fgrunt/post
FG_STOP2 fgrunt/stay
FG_STOP3 fgrunt/leave

FG_KILL0 fgrunt/oneshot
FG_KILL1 fgrunt/killer
FG_KILL2 fgrunt/sniper
FG_KILL3 fgrunt/tag
FG_KILL4 fgrunt/corporal
FG_KILL5 fgrunt/talking
FG_KILL6 fgrunt/take
FG_KILL7 fgrunt/sniper
FG_KILL8 fgrunt/checkin
FG_KILL9 fgrunt/area

FG_SHOT0 fgrunt/check
FG_SHOT1 fgrunt/wantsome
FG_SHOT2 fgrunt/zone
FG_SHOT3 fgrunt/watchit
FG_SHOT4 fgrunt/watchfire
FG_SHOT5 fgrunt/friendly
FG_CHECK0 fgrunt/check
FG_CHECK1 fgrunt/zone
FG_IDLE0 fgrunt/guard
FG_IDLE1 fgrunt/mission
FG_IDLE2 fgrunt/babysitting
FG_IDLE3 fgrunt/coverup
FG_IDLE4 fgrunt/now
FG_IDLE5 fgrunt/seensquad
FG_IDLE6 fgrunt/short
FG_IDLE7 fgrunt/outof
FG_IDLE8 fgrunt/lost
FG_IDLE9 fgrunt/fubar
FG_IDLE10 fgrunt/dogs
FG_IDLE11 fgrunt/disney
FG_IDLE12 fgrunt/checkrecon
FG_ATTACK0 fgrunt/flank
FG_ATTACK1 fgrunt/wantsome
FG_ATTACK2 fgrunt/freaks
FG_ATTACK3 fgrunt/recon
FG_ATTACK4 fgrunt/rapidfire
FG_ATTACK5 fgrunt/sweep
FG_ATTACK6 fgrunt/suppressing
FG_ATTACK7 fgrunt/marines
FG_ATTACK8 fgrunt/moveup
FG_ATTACK9 fgrunt/go
FG_ATTACK10 fgrunt/covering
FG_ATTACK11 fgrunt/ass
FG_MAD0 fgrunt/ass
FG_HELLO0 fgrunt/sore
FG_HELLO1 fgrunt/tosee
FG_HELLO2 fgrunt/hellosir
FG_WOUND0 fgrunt/imhit
FG_WOUND1 fgrunt/fwound
FG_WOUND2 fgrunt/makeit
FG_MORTAL0 fgrunt/hitbad
FG_MORTAL1 fgrunt/critical
FG_MORTAL2 fgrunt/sdamage
FG_CURE1 fgrunt/needmedic
FG_CURE2 fgrunt/hurt
FG_CURE3 fgrunt/hell
FG_CURE4 fgrunt/feel
FG_MAKEIT fgrunt/makeit

FG_GETOUT fgrunt/ok03b_fg01

ZG_IDLE0 zombie/zo_idle2 zo_alert10 zo_idle2
ZG_IDLE1 zombie/zo_alert20 zo_idle1
ZG_IDLE2 zombie/zo_alert10 zo_idle4 zo_idle3
ZG_QUESTION0 zombie/zo_alert10 zo_idle4
ZG_QUESTION1 agrunt/ag_idle1
ZG_QUESTION2 agrunt/ag_idle5
ZG_QUESTION3 agrunt/ag_idle2
ZG_ANSWER0 gonarch/gon_birth2
ZG_ANSWER1 zombie/zo_alert20
ZG_GREN0 fgrunt/incoming(p70)
ZG_GREN1 fgrunt/grenade(p70)
ZG_ALERT0 gonarch/gon_sack1
ZG_ALERT2 gonarch/gon_sack2
ZG_ALERT3 gonarch/gon_sack3
ZG_MONSTER0 headcrab/hc_pain3
ZG_MONSTER1 headcrab/hc_pain2
ZG_COVER0 agrunt/ag_alert2
ZG_COVER1 agrunt/ag_alert3
ZG_CLEAR0 agrunt/ag_alert2
ZG_CLEAR1 agrunt/ag_alert3
ZG_THROW0 agrunt/ag_idle3
ZG_THROW1 agrunt/ag_idle4
ZG_CHARGE0 agrunt/ag_idle5
ZG_CHARGE1 agrunt/ag_idle1
ZG_TAUNT0 agrunt/ag_pain5
ZG_TAUNT1 agrunt/ag_pain2
ZG_TAUNT2 agrunt/ag_pain1

//GMAN

//c1a0 narrative
GM_1MUMBLE gman/gman_mumble1
GM_2MUMBLE gman/gman_mumble2
GM_3MUMBLE gman/gman_mumble3
GM_4MUMBLE gman/gman_mumble4
GM_5MUMBLE gman/gman_mumble5
GM_6MUMBLE gman/gman_mumble6

OT_OK0 otis/reputation
OT_OK1 otis/live
OT_OK2 otis/together
OT_OK3 otis/letsgo
OT_OK4 otis/diealone
OT_OK5 otis/joinyou
OT_OK6 otis/teamup
OT_WAIT0 otis/help
OT_WAIT1 otis/go_on
OT_WAIT2 otis/slowingyoudown
OT_WAIT3 otis/illwait
OT_WAIT4 otis/seeya
OT_WAIT5 otis/standguard
OT_WAIT6 otis/notalone
OT_HELLO0 otis/hiya
OT_HELLO1 otis/talkmuch
OT_HELLO2 otis/yourside
OT_QUESTION0 otis/beer
OT_QUESTION1 otis/rightdirection
OT_QUESTION2 otis/getanyworse
OT_QUESTION3 otis/gladof
OT_QUESTION4 otis/aliencombat
OT_QUESTION5 otis/somethingmoves
OT_QUESTION6 otis/noise
OT_ANSWER0 otis/yes
OT_ANSWER1 otis/yessir
OT_ANSWER2 otis/youbet
OT_ANSWER3 otis/alright
OT_ANSWER4 otis/yup
OT_ANSWER5 otis/yeah
OT_ANSWER6 otis/noway
OT_ANSWER7 otis/doubt
OT_ANSWER8 otis/breath
OT_ANSWER9 otis/no
OT_ANSWER10 otis/dontguess
OT_ANSWER12 otis/nope
OT_ANSWER13 otis/nosir
OT_ANSWER14 otis/dontask
OT_ANSWER15 otis/suppose
OT_ANSWER16 otis/hell
OT_ANSWER17 otis/cantfigure
OT_ANSWER18 otis/maybe
OT_ANSWER19 otis/talkmuch
OT_ANSWER20 otis/dejavu
OT_POK0 otis/yup
OT_POK1 otis/yessir
OT_POK2 otis/yes
OT_POK3 otis/yeah
OT_POK4 otis/no
OT_KILL0 otis/gotone
OT_KILL1 otis/another
OT_KILL2 otis/buttugly
OT_KILL3 otis/seethat
OT_KILL4 otis/close
OT_KILL5 otis/firepl
OT_KILL6 otis/bring
OT_MAD0 otis/bully
OT_MAD1 otis/somuch
OT_MAD2 otis/dontmake
OT_MAD3 otis/tomb
OT_SHOT0 otis/friends
OT_SHOT1 otis/chump
OT_SHOT2 otis/watchit
OT_SHOT3 otis/damn
OT_SHOT4 otis/quitit
OT_SHOT5 otis/onry
OT_IDLE0 otis/mom
OT_IDLE1 otis/aliens
OT_IDLE2 otis/wuss
OT_IDLE3 otis/bridge
OT_IDLE4 otis/closet
OT_IDLE5 otis/cousin
OT_IDLE6 otis/mall
OT_ATTACK0 otis/behind
OT_ATTACK1 otis/leftovers
OT_ATTACK2 otis/yourback
OT_ATTACK3 otis/die
OT_HEAR0 otis/hearsomething
OT_HEAR1 otis/soundsbad
OT_SMELL0 otis/ass
OT_SMELL1 otis/chili
OT_SMELL2 otis/janitor
OT_CUREA otis/scar
OT_CUREB otis/insurance
OT_CUREC otis/medic
OT_SCARED0 otis/donthurtem
OT_SCARED1 otis/leavealone
OT_WOUND0 otis/imhit
OT_WOUND1 otis/virgin
OT_MORTAL0 otis/imdead
OT_MORTAL1 otis/hitbad
OT_MISC0 otis/stupidmachines
OT_MISC1 otis/job
OT_MISC1 otis/quarter
